Marina Trace Analysis Report
GeneratedAtUTC: 2026-05-15T12:00:00Z
Rows: 83
JSON: MarinaTraceAnalysisReport.json
TXT: MarinaTraceAnalysisReport.txt

mode: model_router
- prompt: What did I spend this month?
  group: core
  expectedOperation: sum
  expectedMeasure: spendTotal
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: fallback
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: query(source=parser,metric=spendTotal,target=nil)
  actualMetricOperation: nil
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: home_query_engine
  responseType: query
  verdictRaw: correct
  likelySmallestFix: none
- prompt: How much did I spend last week?
  group: core
  expectedOperation: sum
  expectedMeasure: spendTotal
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: last_week
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: fallback
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: query(source=parser,metric=spendTotal,target=nil)
  actualMetricOperation: nil
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: home_query_engine
  responseType: query
  verdictRaw: correct
  likelySmallestFix: none
- prompt: How much did I spend on Food & Drink this period?
  group: core
  expectedOperation: sum
  expectedMeasure: categorySpendTotal
  expectedEntityScope: category
  expectedTarget: Food & Drink
  expectedPrimaryDateRange: current_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: fallback
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: query(source=parser,metric=merchantSpendTotal,target=nil)
  actualMetricOperation: nil
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: home_query_engine
  responseType: query
  verdictRaw: correct
  likelySmallestFix: none
- prompt: What did I spend on my Apple Card this month?
  group: core
  expectedOperation: sum
  expectedMeasure: cardSpendTotal
  expectedEntityScope: card
  expectedTarget: Apple Card
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: fallback
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: query(source=parser,metric=cardSpendTotal,target=nil)
  actualMetricOperation: nil
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: home_query_engine
  responseType: query
  verdictRaw: correct
  likelySmallestFix: none
- prompt: How much did I spend on Food & Drink this period compared to last period?
  group: core
  expectedOperation: difference
  expectedMeasure: categoryMonthComparison
  expectedEntityScope: category
  expectedTarget: Food & Drink
  expectedPrimaryDateRange: current_period
  expectedComparisonDateRange: previous_period
  expectedPresentationIntent: comparison
  selectedRoute: fallback
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: query(source=parser,metric=merchantSpendTotal,target=nil)
  actualMetricOperation: nil
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: home_query_engine
  responseType: query
  verdictRaw: comparison range failure
  likelySmallestFix: require secondary range synthesis for comparison prompts
- prompt: Compare groceries this month to last month.
  group: core
  expectedOperation: difference
  expectedMeasure: categoryMonthComparison
  expectedEntityScope: category
  expectedTarget: groceries
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: last_month
  expectedPresentationIntent: comparison
  selectedRoute: fallback
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: query(source=parser,metric=monthComparison,target=nil)
  actualMetricOperation: nil
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: home_query_engine
  responseType: query
  verdictRaw: comparison range failure
  likelySmallestFix: require secondary range synthesis for comparison prompts
- prompt: Did I spend more on restaurants this month than last month?
  group: core
  expectedOperation: difference
  expectedMeasure: categoryMonthComparison
  expectedEntityScope: category
  expectedTarget: restaurants
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: last_month
  expectedPresentationIntent: comparison
  selectedRoute: fallback
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: query(source=parser,metric=spendTotal,target=nil)
  actualMetricOperation: nil
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: home_query_engine
  responseType: query
  verdictRaw: comparison range failure
  likelySmallestFix: require secondary range synthesis for comparison prompts
- prompt: How did my Apple Card spending change from March to April?
  group: core
  expectedOperation: difference
  expectedMeasure: cardMonthComparison
  expectedEntityScope: card
  expectedTarget: Apple Card
  expectedPrimaryDateRange: april
  expectedComparisonDateRange: march
  expectedPresentationIntent: comparison
  selectedRoute: fallback
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: query(source=parser,metric=monthComparison,target=nil)
  actualMetricOperation: nil
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: home_query_engine
  responseType: query
  verdictRaw: comparison range failure
  likelySmallestFix: require secondary range synthesis for comparison prompts
- prompt: What is my average grocery spending?
  group: core
  expectedOperation: average
  expectedMeasure: categoryAverageSpend
  expectedEntityScope: category
  expectedTarget: grocery
  expectedPrimaryDateRange: default_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: fallback
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: query(source=parser,metric=spendAveragePerPeriod,target=nil)
  actualMetricOperation: nil
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: home_query_engine
  responseType: query
  verdictRaw: metric/operation mapping failure
  likelySmallestFix: add explicit average-by-target mapping metric
- prompt: What do I usually spend on Food & Drink per month?
  group: core
  expectedOperation: average
  expectedMeasure: categoryAverageSpend
  expectedEntityScope: category
  expectedTarget: Food & Drink
  expectedPrimaryDateRange: monthly
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: fallback
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: query(source=parser,metric=spendAveragePerPeriod,target=nil)
  actualMetricOperation: nil
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: home_query_engine
  responseType: query
  verdictRaw: metric/operation mapping failure
  likelySmallestFix: add explicit average-by-target mapping metric
